appid,name
2384710,Midline '85
2384720,Astebros
2384730,Beyond the Ice Palace 2
2384760,Phantasy Star Online 2 New Genesis - Sonic Collab: Suits/C-Space Pack
2384770,異世界で石に転生 - 全年齢版ストーリー&グラフィック追加 DLC
2384780,Idle Dragon Clicker
2390240,Sweet Science – The Girls of Silversee Castle Demo
2390260,Topple Tactics
2390280,Sunrise's Order Demo
2390290,D96: Kansei
2390300,The Skylia Prophecy Soundtrack
2390310,Deadblast
2393880,HAUNTED HOUSE
2394110,Dickland: Tower Defense
2394423,Jigsaw Puzzle World - Sports
2394590,Just Survive
2412010,Konike
2412040,I'm In Charge Free Demo
2417970,Risky Sanctuary
2417980,Tribute Demo
2417990,War and Peace
2418000,Combat Mission: Red Thunder
2418010,Combat Mission: Red Thunder - Battle Pack 1
2418011,Combat Mission: Red Thunder - Fire and Rubble
2418020,弈人寻梦
2418040,Beyond The Plastic Wall
2429740,Loop8: Summer of Gods - Summer Outfit Set
2429741,Loop8: Summer of Gods - Casual Outfit Set
2442890,PAYDAY 3 - Dark Sterling Mask
2442900,Bumpstick Demo
1918560,Cloud Heart
1918580,Pluto's Island Playtest
2063450,Hidden Shapes Animals - VR
2063460,Blockhead 2D Demo
2063470,PUT PUD Nudli's Adventure Demo
2063480,Voltage High Society
2063510,KAKUDO
2063530,Methods: The Canada Files
2074170,CONVERGENCE: A League of Legends Story™ - Golden Ekko Skin
2074171,CONVERGENCE: A League of Legends Story™ - Star Guardian Ekko Skin
2074172,CONVERGENCE: A League of Legends Story™ - Ruined Ekko Skin
2074180,Anitons Demo
2074190,1001 Jigsaw. Cute Cats 2
2074200,1001 Jigsaw. Cute Cats 3
2074210,Seven Deadly Dates Artbook + Wallpapers
2117430,Purrrifiers: Cleaning Chaos
2117440,Lollypop
2117780,RPG Maker MZ - Beast man Generator for MZ
2117790,Crash Override
2117930,Drakkon World Builder
2117940,The Slush Force
2117950,Bloons TD 6 Soundtrack
2117960,Slay The Zone
2117970,Slime Rancher 2 Soundtrack
2126050,Tanasurga Demo
2126090,Epsylon
2135610,勇者之书Test
2135630,Best Friend
2135640,Hot Mom
2135650,Take The Wheels!
2135680,Die Daddy Die
2135690,提西探险社
2212410,Shadowkin
2212420,Shadowkin Playtest
2214800,Quant Playtest
2214810,Space Cheetah Hyper Runner Soundtrack
2214820,Atomic Heart - Midas Glove Skin
